"level_code","field_code","duration_yr","fee","cum_duration","fee_component","none_fee_component","duration_whole_yr","loan_for_course","loan_at_graduation","sac_funding","total_funding"
"08","0105",1,7000,4,7000,10900,4,17900,70100,17072,17072
"08","0107",1,7000,4,7000,10900,4,17900,70100,17072,17072
"08","0109",1,9009,4,9009,10900,4,19909,72504,17072,17072
"08","0199",1,8542,4.75,8542,10900,4,19442,85464.265625,17072,17072
"08","0200",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0201",2.5,8144.5,5.4,20361.25,27250,5,47611.25,103645.05,12050,30125
"08","0203",1,7000,4,7000,10900,4,17900,70139.6,12050,12050
"08","0299",3,7353,6.6,22059,32700,6,54759,116640.84,12050,36150
"08","0300",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0301",1,7000,4,7000,10900,4,17900,71627,14482,14482
"08","0303",4,7898,7,31592,43600,7,75192,127392,14482,57928
"08","0305",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0307",1,7000,4,7000,10900,4,17900,68312,14482,14482
"08","0309",1,7000,4,7000,10900,4,17900,68627,14482,14482
"08","0311",4,8286,8,33144,43600,8,76744,152616,14482,57928
"08","0313",4,7806,7.33333333333333,31224,43600,7,74824,137878.444444444,14482,57928
"08","0315",1,7000,4,7000,10900,4,17900,186599,15904,15904
"08","0317",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0399",4.91666666666667,7866.41666666667,8.41666666666667,38676.5486111111,53591.6666666667,8,92268.2152777778,154399.048611111,14482,71203.1666666667
"08","0400",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0401",4,7575,7.42857142857143,30300,43600,7,73900,138197.469387755,14482,57928
"08","0403",1,7000,4,7000,10900,4,17900,72654,14482,14482
"08","0500",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0501",4,7275,7.25,29100,43600,7,72700,129920.3125,13427,53708
"08","0503",1,7594,4,7594,10900,4,18494,72149,13427,13427
"08","0505",1,7000,5,7000,10900,5,17900,93372,13427,13427
"08","0507",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0509",2.5,6949,5.83333333333333,17372.5,27250,5,44622.5,103573.611111111,13427,33567.5
"08","0599",1,7000,4,7000,10900,4,17900,70100,13427,13427
"08","0600",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0601",1,9110.5,6,9110.5,10900,6,20010.5,138412.166666667,26416,26416
"08","0603",1,8647,4.44,8647,10900,4,19547,81531.5344,13427,13427
"08","0605",4,8161,8,32644,43600,8,76244,151928,19405,77620
"08","0607",4.5,13141.5,8,59136.75,49050,8,108186.75,182076.125,26416,118872
"08","0609",1,7000,6,7000,10900,6,17900,115875,19405,19405
"08","0611",1,7000,5,7000,10900,5,17900,100934,26416,26416
"08","0613",1,7000,4,7000,10900,4,17900,69665.6,14482,14482
"08","0615",1,9949,4,9949,10900,4,20849,74729.6,14482,14482
"08","0617",3.25,7792.75,6.75,25326.4375,35425,6,60751.4375,126565.7875,12050,39162.5
"08","0619",1,7000,4.5,7000,10900,4,17900,84740.375,7820,7820
"08","0699",1,6148,4.44444444444444,6148,10900,4,17048,75374.3086419753,12050,12050
"08","0700",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0701",1,7000,4.43243243243243,7000,10900,4,17900,76131.3089846603,11085,11085
"08","0703",1,7519.5,4.66666666666667,7519.5,10900,4,18419.5,80585.3888888889,11085,11085
"08","0799",1,7000,6,7000,10900,6,17900,102985,NA,NA
"08","0800",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0801",1,7000,4,7000,10900,4,17900,68480,7820,7820
"08","0803",2.5,7652.25,5.86585365853658,19130.625,27250,5,46380.625,103278.164559786,7820,19550
"08","0805",1,7000,5,7000,10900,5,17900,86785.3333333333,7820,7820
"08","0807",1,7000,4,7000,10900,4,17900,70179,7820,7820
"08","0809",1,7000,4,7000,10900,4,17900,70100,7820,7820
"08","0811",1,7000,4,7000,10900,4,17900,70100,7820,7820
"08","0899",1,7033,4.6,7033,10900,4,17933,80148.2,7820,7820
"08","0900",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","0901",1,7000,4,7000,10900,4,17900,70100,7820,7820
"08","0903",1,7819,4.33333333333333,7819,10900,4,18719,75475.1111111111,7820,7820
"08","0905",4,7242.33333333333,7.51724137931035,28969.3333333333,43600,7,72569.3333333333,132012.410622275,7820,31280
"08","0907",1,7000,4,7000,10900,4,17900,70100,7820,7820
"08","0909",5.15384615384615,7402.30769230769,9.89068825910931,38150.3550295858,56176.9230769231,9,94327.2781065089,177048.995558032,7820,40303.0769230769
"08","0911",1,7000,4,7000,10900,4,17900,69389,7820,7820
"08","0913",1,7000,4,7000,10900,4,17900,70100,7820,7820
"08","0915",1,5220,4,5220,10900,4,16120,65934,7820,7820
"08","0917",1,6718,4,6718,10900,4,17618,65994.875,7820,7820
"08","0919",1,7000,4,7000,10900,4,17900,68495,7820,7820
"08","0921",2.5,9003.5,5.57692307692308,22508.75,27250,5,49758.75,102959.696745562,7820,19550
"08","0999",1,7960,4.72222222222222,7960,10900,4,18860,82531.0925925926,7820,7820
"08","1000",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","1001",1,8260.4,4.29411764705882,8260.4,10900,4,19160.4,77275.4173010381,7820,7820
"08","1003",4,7154.5,7.57142857142857,28618,43600,7,72218,135500.653061224,7820,31280
"08","1005",2.5,6910.5,5.64285714285714,17276.25,27250,5,44526.25,102161.086734694,7820,19550
"08","1007",1,7864.25,4,7864.25,10900,4,18764.25,72489.8863636364,7820,7820
"08","1099",1,7000,4.25,7000,10900,4,17900,75380.71875,7820,7820
"08","1100",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","1101",1,7000,4,7000,10900,4,17900,71156,7820,7820
"08","1103",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","3333",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","4444",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","5555",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","7777",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","8888",1,7000,4,7000,10900,4,17900,70100,NA,NA
"08","9999",1,7000,4,7000,10900,4,17900,70100,NA,NA
"09","0100",2,8000,5,16000,21800,5,37800,90000,NA,NA
"09","0101",4.42857142857143,8566.71428571429,7.42857142857143,37938.306122449,48271.4285714286,7,86209.7346938776,137824.734693878,17646,78146.5714285714
"09","0103",2,8000,5,16000,21800,5,37800,90000,17646,35292
"09","0105",2,8000,5,16000,21800,5,37800,90000,17646,35292
"09","0107",3.5,8170,6.5,28595,38150,6,66745,118945,17646,61761
"09","0109",4,8830,7,35320,43600,7,78920,131515,17646,70584
"09","0199",2.88888888888889,8523.61111111111,6.63888888888889,24623.7654320988,31488.8888888889,6,56112.6543209877,122134.919945988,17646,50977.3333333333
"09","0200",2,8000,5,16000,21800,5,37800,90000,NA,NA
"09","0201",3.83333333333333,7470.5,6.73333333333333,28636.9166666667,41783.3333333333,6,70420.25,126454.05,12502.5,47926.25
"09","0203",3.5,8783,6.5,30740.5,38150,6,68890.5,121130.1,12502.5,43758.75
"09","0299",4.33333333333333,9006.66666666667,7.93333333333333,39028.8888888889,47233.3333333333,7,86262.2222222222,148144.062222222,12502.5,54177.5
"09","0300",2,8000,5,16000,21800,5,37800,90000,NA,NA
"09","0301",2,8000,5,16000,21800,5,37800,91527,15034,30068
"09","0303",3,8392.5,6,25177.5,32700,6,57877.5,110077.5,15034,45102
"09","0305",2,8000,5,16000,21800,5,37800,90000,15034,30068
"09","0307",1,8387.5,4,8387.5,10900,4,19287.5,69699.5,15034,15034
